+----+--------------------+-------------------------+--------------+
| i  |         Xi         |          f(Xi)          |      E       |
+----+--------------------+-------------------------+--------------+
| 1  |        1.5         |          2.375          | Doesnt exist |
| 2  |        1.25        |        -1.796875        |   2.50E-01   |
| 3  |       1.375        |       0.162109375       |   1.25E-01   |
| 4  |       1.3125       |     -0.848388671875     |   6.25E-02   |
| 5  |      1.34375       |    -0.350982666015625   |   3.12E-02   |
| 6  |      1.359375      |   -0.09640884399414062  |   1.56E-02   |
| 7  |     1.3671875      |   0.03235578536987305   |   7.81E-03   |
| 8  |     1.36328125     |   -0.03214997053146362  |   3.91E-03   |
| 9  |    1.365234375     |  7.202476263046265e-05  |   1.95E-03   |
| 10 |    1.3642578125    |   -0.01604669075459242  |   9.77E-04   |
| 11 |   1.36474609375    |  -0.007989262812770903  |   4.88E-04   |
| 12 |   1.364990234375   |  -0.003959101522923447  |   2.44E-04   |
| 13 |  1.3651123046875   |  -0.0019436590100667672 |   1.22E-04   |
| 14 |  1.36517333984375  |  -0.000935847281880342  |   6.10E-05   |
| 15 | 1.365203857421875  | -0.00043191879925075227 |   3.05E-05   |
| 16 | 1.3652191162109375 |  -0.0001799489032272561 |   1.53E-05   |
| 17 | 1.3652267456054688 | -5.3962541528562724e-05 |   7.63E-06   |
| 18 | 1.3652305603027344 |  9.030992742964372e-06  |   3.81E-06   |
| 19 | 1.3652286529541016 | -2.2465803844795573e-05 |   1.91E-06   |
| 20 | 1.365229606628418  |   -6.7174129139147e-06  |   9.54E-07   |
| 21 | 1.3652300834655762 |  1.1567880733309721e-06 |   4.77E-07   |
| 22 | 1.365229845046997  |  -2.780312879480107e-06 |   2.38E-07   |
| 23 | 1.3652299642562866 |  -8.117625185377619e-07 |   1.19E-07   |
| 24 | 1.3652300238609314 |  1.7251274897489566e-07 |   5.96E-08   |
+----+--------------------+-------------------------+--------------+
