+------+-----+-----+-----+-------+------+------+-----+-------+------+------+-----+-------+-------+------+-----+--------+-------+------+-----+--------+-------+------+-----+--------+-------+------+-----+--------+-------+------+-----+--------+-------+------+-----+--------+
|  A1  |  B1 |  C1 |  D1 |   A2  |  B2  |  C2  |  D2 |   A3  |  B3  |  C3  |  D3 |   A4  |   B4  |  C4  |  D4 |   A5   |   B5  |  C5  |  D5 |   A6   |   B6  |  C6  |  D6 |   A7   |   B7  |  C7  |  D7 |   A8   |   B8  |  C8  |  D8 |   A9   |   B9  |  C9  |  D9 |   V    |
+------+-----+-----+-----+-------+------+------+-----+-------+------+------+-----+-------+-------+------+-----+--------+-------+------+-----+--------+-------+------+-----+--------+-------+------+-----+--------+-------+------+-----+--------+-------+------+-----+--------+
| 1.0  | 1.0 | 1.0 |  1  |  0.0  | 0.0  | 0.0  | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 |  0.0  |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 | 0.5949 |
| 8.0  | 4.0 | 2.0 |  1  |  0.0  | 0.0  | 0.0  | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 |  0.0  |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 | 0.2622 |
| 0.0  | 0.0 | 0.0 | 0.0 |  27.0 | 9.0  | 3.0  |  1  |  0.0  | 0.0  | 0.0  | 0.0 |  0.0  |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 | 0.6028 |
| 0.0  | 0.0 | 0.0 | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 |  64.0 | 16.0 | 4.0  |  1  |  0.0  |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 | 0.7112 |
| 0.0  | 0.0 | 0.0 | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 | 125.0 |  25.0 | 5.0  |  1  |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 | 0.2217 |
| 0.0  | 0.0 | 0.0 | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 |  0.0  |  0.0  | 0.0  | 0.0 | 216.0  |  36.0 | 6.0  |  1  |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 | 0.1174 |
| 0.0  | 0.0 | 0.0 | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 |  0.0  |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 | 343.0  |  49.0 | 7.0  |  1  |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 | 0.2967 |
| 0.0  | 0.0 | 0.0 | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 |  0.0  |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 | 512.0  |  64.0 | 8.0  |  1  |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 | 0.3188 |
| 0.0  | 0.0 | 0.0 | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 |  0.0  |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 | 729.0  |  81.0 | 9.0  |  1  |  0.0   |  0.0  | 0.0  | 0.0 | 0.4242 |
| 0.0  | 0.0 | 0.0 | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 |  0.0  |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 | 1000.0 | 100.0 | 10.0 |  1  | 0.5079 |
| 8.0  | 4.0 | 2.0 |  1  |  -8.0 | -4.0 | -2.0 |  -1 |  0.0  | 0.0  | 0.0  | 0.0 |  0.0  |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |
| 0.0  | 0.0 | 0.0 | 0.0 |  27.0 | 9.0  | 3.0  |  1  | -27.0 | -9.0 | -3.0 |  -1 |  0.0  |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |
| 0.0  | 0.0 | 0.0 | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 |  64.0 | 16.0 | 4.0  |  1  | -64.0 | -16.0 | -4.0 |  -1 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |
| 0.0  | 0.0 | 0.0 | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 |  0.0  | 0.0  | 0.0  | 0.0 | 125.0 |  25.0 | 5.0  |  1  | -125.0 | -25.0 | -5.0 |  -1 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |  0.0  | 0.0  | 0.0 |  0.0   |
